R;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM
P;Sommer;Inter;19;18;1;19;18;1;111
P;Di Gregorio;Juventus;18;17;1;18;17;1;100
P;Meret;Napoli;15;15;0;15;15;0;72
P;Maignan;Milan;14;15;-1;14;15;-1;78
P;Carnesecchi;Atalanta;13;13;0;13;13;0;55
P;Svilar;Roma;13;13;0;13;13;0;69
P;Milinkovic-Savic V.;Torino;12;10;2;12;10;2;47
P;Provedel;Lazio;12;12;0;12;12;0;60
P;Terracciano;Fiorentina;12;11;1;12;11;1;20
P;Skorupski;Bologna;11;11;0;11;11;0;53
P;Gollini;Genoa;10;10;0;10;10;0;38
P;De Gea;Fiorentina;10;11;-1;10;11;-1;39
P;Scuffet;Cagliari;8;7;1;8;7;1;29
P;Audero;Como;8;9;-1;8;9;-1;27
P;Falcone;Lecce;8;9;-1;8;9;-1;29
P;Turati;Monza;8;8;0;8;8;0;23
P;Okoye;Udinese;8;7;1;8;7;1;31
P;Joronen;Venezia;7;6;1;7;6;1;21
P;Montipo';Verona;7;7;0;7;7;0;30
P;Suzuki;Parma;7;7;0;7;7;0;22
P;Vasquez D.;Empoli;6;5;1;6;5;1;14
P;Pizzignacco;Monza;3;1;2;3;1;2;15
P;Perin;Juventus;2;2;0;2;2;0;3
P;Reina;Como;2;2;0;2;2;0;12
P;Caprile;Napoli;2;2;0;2;2;0;4
P;Martinez Jo.;Inter;2;2;0;2;2;0;4
P;Sportiello;Milan;1;1;0;1;1;0;1
P;Leali;Genoa;1;1;0;1;1;0;1
P;Donnarumma An.;Torino;1;1;0;1;1;0;1
P;Sommariva;Genoa;1;1;0;1;1;0;1
P;Perilli;Verona;1;1;0;1;1;0;1
P;Padelli;Udinese;1;1;0;1;1;0;1
P;Perisan;Empoli;1;1;0;1;1;0;1
P;Di Gennaro;Inter;1;1;0;1;1;0;1
P;Pinsoglio;Juventus;1;1;0;1;1;0;1
P;Cragno;Monza;1;1;0;1;1;0;1
P;Silvestri;Udinese;1;1;0;1;1;0;1
P;Rossi F.;Atalanta;1;1;0;1;1;0;1
P;Fruchtl;Lecce;1;1;0;1;1;0;1
P;Ravaglia F.;Bologna;1;1;0;1;1;0;1
P;Vigorito;Como;1;1;0;1;1;0;1
P;Contini;Napoli;1;1;0;1;1;0;1
P;Rui Patricio;Atalanta;1;1;0;1;1;0;1
P;Brancolini;Empoli;1;1;0;1;1;0;1
P;Berardi A.;Verona;1;1;0;1;1;0;1
P;Ciocci;Cagliari;1;1;0;1;1;0;1
P;Paleari;Torino;1;1;0;1;1;0;1
P;Ryan;Roma;1;1;0;1;1;0;1
P;Bertinato;Venezia;1;1;0;1;1;0;1
P;Bagnolini;Bologna;1;1;0;1;1;0;1
P;Martinelli T.;Fiorentina;1;1;0;1;1;0;1
P;Stankovic F.;Venezia;1;1;0;1;1;0;1
P;Christensen O.;Fiorentina;1;1;0;1;1;0;1
P;Furlanetto;Lazio;1;1;0;1;1;0;1
P;Mandas;Lazio;1;1;0;1;1;0;1
P;Nava;Milan;1;1;0;1;1;0;1
P;Samooja;Lecce;1;1;0;1;1;0;1
P;Sherri;Cagliari;1;1;0;1;1;0;1
P;Chichizola;Parma;1;1;0;1;1;0;1
P;Corvi;Parma;1;1;0;1;1;0;1
P;Grandi;Venezia;1;1;0;1;1;0;1
P;Torriani;Milan;1;1;0;1;1;0;1
P;Marin Re.;Roma;1;1;0;1;1;0;1
P;Sava;Udinese;1;1;0;1;1;0;1
D;Dimarco;Inter;24;24;0;23;23;0;101
D;Hernandez T.;Milan;20;20;0;20;20;0;80
D;Di Lorenzo;Napoli;18;18;0;20;20;0;72
D;Bastoni;Inter;16;16;0;16;16;0;50
D;Buongiorno;Napoli;16;16;0;16;16;0;57
D;Bremer;Juventus;16;16;0;16;16;0;57
D;Dumfries;Inter;16;16;0;15;15;0;45
D;Pavard;Inter;14;14;0;15;15;0;40
D;Spinazzola;Napoli;13;13;0;12;12;0;41
D;Danilo;Juventus;13;14;-1;15;16;-1;29
D;Tomori;Milan;13;14;-1;13;14;-1;41
D;Bellanova;Atalanta;13;13;0;12;12;0;45
D;Ruggeri;Atalanta;12;11;1;11;10;1;42
D;Mancini;Roma;11;10;1;11;10;1;26
D;Rrahmani;Napoli;11;11;0;11;11;0;26
D;Emerson Royal;Milan;11;12;-1;11;12;-1;39
D;Romagnoli;Lazio;10;10;0;10;10;0;26
D;Acerbi;Inter;10;10;0;10;10;0;28
D;Zappacosta;Atalanta;10;9;1;9;8;1;30
D;Pavlovic;Milan;10;10;0;10;10;0;29
D;Martinez Quarta;Fiorentina;10;11;-1;10;11;-1;32
D;Cambiaso;Juventus;10;9;1;11;10;1;35
D;Kossounou;Atalanta;10;10;0;10;10;0;26
D;Luperto;Cagliari;9;8;1;9;8;1;14
D;Darmian;Inter;9;8;1;10;9;1;21
D;Sergi Roberto;Como;9;9;0;9;9;0;18
D;Angelino;Roma;9;10;-1;9;10;-1;27
D;Vasquez;Genoa;9;9;0;10;10;0;16
D;Bijol;Udinese;9;8;1;9;8;1;20
D;Carlos Augusto;Inter;9;9;0;8;8;0;20
D;Dodo';Fiorentina;9;9;0;9;9;0;25
